home_team,away_team,Attendance,Round,Host,Year,Date,home_score,away_score,result,home_rank,home_points,confederation_x,away_rank,away_points,confederation_y,ranking_difference,points_difference,home_team_power,away_team_power,team_power_difference
Austria,Uruguay,32000,Third-place match,Switzerland,1954,1954-07-03,3,1,home_win,,,,,,,,,63.952364230769234,65.00322653846155,-1.050862307692313
Germany,Hungary,62500,Final,Switzerland,1954,1954-07-04,3,2,home_win,,,,,,,,,69.83241730769232,57.00994596153846,12.822471346153861
Sweden,Mexico,34107,Group stage,Sweden,1958,1958-06-08,3,0,home_win,,,,,,,,,62.87979807692308,64.15167115384617,-1.271873076923086
Northern Ireland,Czechoslovakia,10647,Group stage,Sweden,1958,1958-06-08,1,0,home_win,,,,,,,,,57.40677173076923,,
Hungary,Wales,15343,Group stage,Sweden,1958,1958-06-08,1,1,draw,,,,,,,,,57.00994596153846,59.99270048076925,-2.982754519230788
Brazil,Austria,17788,Group stage,Sweden,1958,1958-06-08,3,0,home_win,,,,,,,,,71.18102653846155,63.952364230769234,7.228662307692318
Soviet Union,England,49348,Group stage,Sweden,1958,1958-06-08,2,2,draw,,,,,,,,,,68.18326346153846,
France,Paraguay,16518,Group stage,Sweden,1958,1958-06-08,7,3,home_win,,,,,,,,,69.714,61.38765480769232,8.326345192307677
Argentina,West Germany,31156,Group stage,Sweden,1958,1958-06-08,1,3,away_win,,,,,,,,,67.99343846153849,,
Yugoslavia,Scotland,9591,Group stage,Sweden,1958,1958-06-08,1,1,draw,,,,,,,,,,62.71133875,
Mexico,Wales,15150,Group stage,Sweden,1958,1958-06-11,1,1,draw,,,,,,,,,64.15167115384617,59.99270048076925,4.158970673076915
Brazil,England,40895,Group stage,Sweden,1958,1958-06-11,0,0,draw,,,,,,,,,71.18102653846155,68.18326346153846,2.9977630769230927
Paraguay,Scotland,11665,Group stage,Sweden,1958,1958-06-11,3,2,home_win,,,,,,,,,61.38765480769232,62.71133875,-1.3236839423076816
Yugoslavia,France,12217,Group stage,Sweden,1958,1958-06-11,3,2,home_win,,,,,,,,,,69.714,
Argentina,Northern Ireland,14174,Group stage,Sweden,1958,1958-06-11,3,1,home_win,,,,,,,,,67.99343846153849,57.40677173076923,10.58666673076926
West Germany,Czechoslovakia,25000,Group stage,Sweden,1958,1958-06-11,2,2,draw,,,,,,,,,,,
Soviet Union,Austria,21239,Group stage,Sweden,1958,1958-06-11,2,0,home_win,,,,,,,,,,63.952364230769234,
Sweden,Hungary,38850,Group stage,Sweden,1958,1958-06-12,2,1,home_win,,,,,,,,,62.87979807692308,57.00994596153846,5.869852115384617
