team,avg_overall,avg_potential,attack_score,midfield_score,defense_score,physical_score,international_reputation,avg_player_score,squad_value,team_power_score
Faroe Islands,63.8,66.6,57.15,58.660000000000004,45.19,67.33,1.0,57.506499999999996,3075000.0,51.91275374999999
Kenya,65.22222222222223,71.88888888888889,55.361111111111114,58.022222222222226,42.99444444444445,66.12222222222222,1.1111111111111112,57.89055555555555,20470000.0,51.89502350000001
Gambia,67.53333333333333,74.4,54.11666666666667,55.81666666666667,40.29333333333333,65.90666666666667,1.0,57.90599999999999,28400000.0,51.74315333333334
FYR Macedonia,67.54545454545455,71.86363636363636,52.68863636363637,56.472727272727276,41.84318181818182,62.57727272727273,1.0454545454545454,57.652272727272724,58810000.0,51.725667772727284
Benin,68.16666666666667,71.25,47.916666666666664,54.10833333333333,46.50833333333333,66.14999999999999,1.0,57.57083333333333,21550000.0,51.56607749999999
St Kitts Nevis,64.5,65.0,45.849999999999994,58.4,51.15,64.65,1.0,56.6175,2900000.0,51.13714500000001
Rwanda,63.5,70.5,44.65,49.425,61.3,67.625,1.0,56.9625,1175000.0,51.072558750000006
Zambia,65.4,73.8,60.705,56.17999999999999,33.614999999999995,66.41499999999999,1.0,57.16575,11865000.0,51.04689325000001
Azerbaijan,63.2,67.0,58.339999999999996,56.2,41.65,66.88,1.0,56.592499999999994,2840000.0,50.946142
Uganda,62.333333333333336,69.33333333333333,49.675000000000004,54.900000000000006,52.11666666666667,67.63333333333334,1.0,56.635416666666664,3545000.0,50.84017725
Curacao,66.86666666666666,69.6,55.67999999999999,55.92999999999999,35.33,65.59333333333333,1.0,56.684,22145000.0,50.792040583333325
Afghanistan,61.333333333333336,68.0,50.36666666666667,56.53333333333333,51.76666666666667,67.10000000000001,1.0,56.421666666666674,1075000.0,50.75205375000001
Moldova,66.6,73.6,48.96,53.95,43.410000000000004,57.160000000000004,1.2,56.676,12070000.0,50.683003500000005
St Lucia,64.0,68.0,39.25,50.85,61.9,68.6,1.0,56.43,500000.0,50.622024999999994
Congo,65.78947368421052,70.42105263157895,46.19736842105263,53.502631578947366,47.84473684210526,63.444736842105264,1.0526315789473684,56.425000000000004,21225000.0,50.53606125
Cuba,66.25,73.0,46.2,56.0375,43.425,60.95,1.0,56.384375,6100000.0,50.42030499999999
Haiti,63.5,69.2,54.71,55.970000000000006,40.475,63.269999999999996,1.0,55.98175,8730000.0,50.258636499999994
Hong Kong,60.0,66.0,48.05,55.5,54.95,61.875,1.0,55.46875,280000.0,50.087514000000006
Antigua & Barbuda,62.75,68.0,50.25,54.675000000000004,45.675,71.5875,1.0,55.931875000000005,2180000.0,50.03285900000001
Guyana,61.0,68.5,48.025000000000006,53.675,53.15,64.625,1.0,55.65875,1180000.0,49.998559
Estonia,64.63636363636364,69.18181818181819,44.35909090909091,53.940909090909095,48.47727272727273,63.01818181818181,1.0909090909090908,55.79931818181819,9625000.0,49.979753977272736
Mauritania,62.8,68.8,38.290000000000006,50.46,61.32000000000001,65.17,1.0,55.629,2380000.0,49.868719
Palestine,62.5,65.0,61.25,58.175000000000004,31.674999999999997,67.675,1.0,55.42375,785000.0,49.829539249999996
Andorra,62.0,64.0,41.05,51.4,57.49999999999999,64.35,1.0,54.81,290000.0,49.3690145
Belarus,68.25,71.25,47.9625,55.0375,32.4875,57.949999999999996,1.0,55.233125,7625000.0,49.342381249999995
Liberia,63.666666666666664,73.0,61.800000000000004,53.85,26.849999999999998,63.63333333333333,1.0,55.13999999999999,2225000.0,49.08944458333333
Barbados,64.0,64.0,61.45,56.449999999999996,25.3,69.05,1.0,54.7325,400000.0,49.06302
Sudan,63.0,70.33333333333333,60.449999999999996,54.31666666666666,28.383333333333336,67.85,1.0,54.94833333333333,1700000.0,48.94441833333333
Burundi,61.5,69.0,58.7875,55.025,32.7125,61.025,1.25,54.705,3330000.0,48.8971665
Thailand,62.666666666666664,67.0,55.51666666666667,54.949999999999996,33.03333333333334,61.38333333333335,1.0,54.22749999999999,1900000.0,48.624428333333334
Trinidad & Tobago,64.5,65.66666666666667,42.800000000000004,51.508333333333326,45.36666666666667,60.675000000000004,1.0,54.126666666666665,9150000.0,48.568624166666666
Nicaragua,62.0,62.0,55.0,59.05,31.450000000000003,59.55,1.0,53.7025,300000.0,48.481015
Lithuania,63.125,68.625,47.74375,53.537499999999994,39.824999999999996,60.925,1.0,54.168437499999996,7470000.0,48.4533735
Namibia,66.0,71.0,43.70000000000001,51.41666666666666,38.55,66.06666666666666,1.0,54.553333333333335,2275000.0,48.43811374999999
Bermuda,61.25,63.0,51.525,51.8125,42.0125,66.75,1.0,53.8775,2405000.0,48.386120250000005
Sierra Leone,62.333333333333336,71.22222222222223,56.59444444444445,51.266666666666666,31.561111111111114,67.62777777777778,1.0,54.23361111111111,7360000.0,48.15270133333333
Papua New Guinea,61.0,63.0,37.7,46.55,58.349999999999994,64.4,1.0,53.26,260000.0,47.81401300000001
Malta,61.0,63.0,53.099999999999994,56.449999999999996,28.799999999999997,57.99999999999999,1.0,52.302499999999995,300000.0,47.006015000000005
Vietnam,62.0,69.0,61.150000000000006,54.3,14.85,68.1,1.0,52.550000000000004,425000.0,46.50002125
Indonesia,56.0,74.0,44.8,63.45,35.800000000000004,49.7,1.0,52.092499999999994,180000.0,46.49200899999999
Grenada,59.5,70.0,32.9,47.175,55.5,60.2,1.0,52.17125,690000.0,46.3760345
Guatemala,66.0,67.5,34.449999999999996,41.925,41.4,54.075,1.0,51.22,1000000.0,45.515550000000005
India,57.92307692307692,63.96153846153846,45.24230769230769,46.51538461538462,42.50192307692308,63.39807692307692,1.0,50.97807692307692,0.0,45.451807692307696
Yemen,58.0,61.0,58.35,56.3,20.3,54.25,1.0,50.355,160000.0,45.287008
Latvia,64.8,68.8,34.5,44.980000000000004,37.83,59.17999999999999,1.0,51.1155,2615000.0,45.187330749999994
South Sudan,60.0,63.0,57.55,46.449999999999996,20.1,61.65,1.0,49.9975,260000.0,44.459013
Jordan,65.5,69.0,28.45,39.925,35.0,58.025000000000006,1.0,49.232499999999995,625000.0,43.180531249999994
Oman,72.0,72.0,17.2,44.74999999999999,17.950000000000003,58.0,2.0,49.285,425000.0,42.204021250000004
Philippines,64.33333333333333,69.66666666666667,28.78333333333333,41.416666666666664,28.900000000000002,55.550000000000004,1.0,48.12583333333333,5240000.0,42.077262
