home_team,away_team,Attendance,Round,Host,Year,Date,home_score,away_score,result,home_rank,home_points,confederation_x,away_rank,away_points,confederation_y,ranking_difference,points_difference,home_team_power,away_team_power,team_power_difference,home_last5_wins,home_last5_draws,home_last5_losses,home_last5_goals,home_last5_goals_conceded,home_recent_form_score,away_last5_wins,away_last5_draws,away_last5_losses,away_last5_goals,away_last5_goals_conceded,away_recent_form_score,form_score_difference,recent_goals_difference,recent_defense_difference
Uruguay,Sweden,7987,Final stage,Brazil,1950,1950-07-13,3,2,home_win,,,,,,,,,65.00322653846155,62.87979807692308,2.123428461538466,4,1,0,24,5,13,1,1,3,9,20,4,9,15,15
Brazil,Spain,152772,Final stage,Brazil,1950,1950-07-13,6,1,home_win,,,,,,,,,71.18102653846155,71.50423846153845,-0.3232119230768973,4,1,0,19,5,13,3,1,1,8,4,10,3,11,-1
Uruguay,Brazil,173850,Final stage,Brazil,1950,1950-07-16,2,1,home_win,,,,,,,,,65.00322653846155,71.18102653846155,-6.177800000000005,4,1,0,23,7,13,4,1,0,21,4,13,0,2,-3
Sweden,Spain,11227,Final stage,Brazil,1950,1950-07-16,3,1,home_win,,,,,,,,,62.87979807692308,71.50423846153845,-8.624440384615369,1,1,3,10,18,4,3,1,1,9,9,10,-6,1,-9
Yugoslavia,France,16000,Group stage,Switzerland,1954,1954-06-16,1,0,home_win,,,,,,,,,,69.714,,3,0,2,12,9,9,1,0,4,6,9,3,6,6,0
Brazil,Mexico,13470,Group stage,Switzerland,1954,1954-06-16,5,0,home_win,,,,,,,,,71.18102653846155,64.15167115384617,7.029355384615386,3,1,1,18,6,10,0,0,5,5,19,0,10,13,13
Austria,Scotland,25000,Group stage,Switzerland,1954,1954-06-16,1,0,home_win,,,,,,,,,63.952364230769234,62.71133875,1.2410254807692311,2,0,2,7,7,6,0,0,0,0,0,0,6,7,-7
Uruguay,Czechoslovakia,20500,Group stage,Switzerland,1954,1954-06-16,2,0,home_win,,,,,,,,,65.00322653846155,,,4,1,0,19,7,13,2,1,2,9,6,7,6,10,-1
England,Belgium,14000,Group stage,Switzerland,1954,1954-06-17,4,4,draw,,,,,,,,,68.18326346153846,67.93338076923077,0.2498826923076933,1,0,2,2,2,3,0,0,4,3,12,0,3,-1,10
Germany,Turkey,28000,Group stage,Switzerland,1954,1954-06-17,4,1,home_win,,,,,,,,,69.83241730769232,63.71142807692308,6.120989230769247,2,1,2,9,11,7,0,0,0,0,0,0,7,9,-11
Hungary,South Korea,13000,Group stage,Switzerland,1954,1954-06-17,9,0,home_win,,,,,,,,,57.00994596153846,,,3,0,2,16,7,9,0,0,0,0,0,0,9,16,-7
Switzerland,Italy,43000,Group stage,Switzerland,1954,1954-06-17,2,1,home_win,,,,,,,,,64.68190576923077,68.45827307692308,-3.776367307692311,2,1,2,8,10,7,4,0,1,13,7,12,-5,-5,-3
France,Mexico,19000,Group stage,Switzerland,1954,1954-06-19,3,2,home_win,,,,,,,,,69.714,64.15167115384617,5.562328846153832,1,0,4,6,9,3,0,0,5,5,21,0,3,1,12
Austria,Czechoslovakia,26000,Group stage,Switzerland,1954,1954-06-19,5,0,home_win,,,,,,,,,63.952364230769234,,,3,0,2,8,7,9,1,1,3,6,7,4,5,2,0
